Date,Holiday Name,Information,More Information,Applicable To
20150101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,,NAT
20150126,Australia Day,Always celebrated on 26 January,http://www.australiaday.org.au/,NAT
20150302,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
20150309,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20150309,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of AustraliaŐs capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
20150309,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
20150309,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
20150403,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,,NAT
20150404,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,,ACT|NSW|SA|QLD|NT|VIC
20150405,Easter Sunday,Public Holiday as part of Easter.,,ACT|NSW|VIC
20150406,Easter Monday,Public Holiday as part of Easter.,,NAT
20150407,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,http://worksafe.tas.gov.au/resources/public_holidays,TAS
20150425,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NAT
20150427,Anzac Day,When Anzac Day falls on a Saturday or Sunday the next following Monday is also a public holiday.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
20150504,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
20150601,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
20150608,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,,ACT|NSW|NT|QLD|SA|TAS|VIC
20150803,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
20150928,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,,WA
20150928,Family & Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
20151002,AFL Grand Final,Friday before the AFL Grand Final,,VIC
20151005,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",,ACT|NSW|QLD|SA
20151103,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council,,VIC
20151224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20151225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,,NAT
20151228,Boxing Day,Substitute for Saturday 26 December.  Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,,ACT|TAS|VIC|NSW|QLD|NT
20151228,Proclamation Day,Substitute for Saturday 26 December.  Occurs the day after Christmas Day,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20151231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20160101,New Year's Day,New YearŐs Day is the first day of the calendar year and is celebrated each January 1st,,NAT
20160126,Australia Day,Always celebrated on 26 January,,NAT
20160307,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
20160314,March public holiday,The Holidays Act 1910 provides for the third Monday in May to be a public holiday. ch through the issuing of a special Proclamation by the Governor.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20160314,Canberra Day,"Held on the second Monday of March each year in Canberra, to celebrate the naming ceremony of AustraliaŐs capital which took place on 12 March 1913.",http://www.cmd.act.gov.au/communication/holidays,ACT
20160314,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://worksafe.tas.gov.au/resources/public_holidays,TAS
20160314,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
20160325,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,,NAT
20160326,Easter Saturday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,,ACT|NSW|SA|VIC|QLD|NT
20160327,Easter Sunday,Public Holiday as part of Easter.,,ACT|NSW|VIC
20160328,Easter Monday,Public Holiday as part of Easter.,,NAT
20160328,Easter Tuesday,Restricted public holiday in Tasmania. Observed by some awards/agreements and the State Public Service,http://worksafe.tas.gov.au/laws/public_holidays,TAS
20160425,Anzac Day,Celebrated on the 25 April each year.,http://www.awm.gov.au/commemoration/anzac-day/,NAT
20160502,May Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
20160502,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",,QLD
20160606,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,http://www.commerce.wa.gov.au/labour-relations/public-holidays-western-australia,WA
20160613,Queen's Birthday,Celebrated on second Monday in June except in Western Australia.,https://www.gg.gov.au/queens-birthday-2014-honours-list,ACT|NSW|NT|SA|TAS|VIC
20160801,Picnic Day,"Observed on the first Monday of August each year and is clebrated with a horse race, railway picnic and other social outings",http://www.ocpe.nt.gov.au/working_in_the_ntps/legislation/public_holidays%0A,NT
20160926,Queen's Birthday,Non-metropolitan local authorities in WA may celebrate the Queen's Birthday Public Holiday on an alternative date,http://www.commerce.wa.gov.au/labourrelations/content/Employers/Pay_rates_leave_and_conditions/Regional_Dates_for_the_Queens.html,WA
20160926,Family & Community Day,A holiday for people to spend with their family and friends.,http://www.cmd.act.gov.au/communication/holidays,ACT
20161003,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",,ACT|NSW|SA
20161003,Queen's Birthday,Celebrated on First Monday in October in Queensland.,https://www.gg.gov.au/queens-birthday-2014-honours-list,QLD
20161101,Melbourne Cup Day,All of Victoria unless alternate local holiday has been arranged by non-metro council.,http://www.business.vic.gov.au/victorian-public-holidays-and-daylight-saving/victorian-public-holidays,VIC
20161224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
20161225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,,NAT
20161226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,,ACT|NSW|NT|QLD|WA|TAS|VIC
20161226,Christmas Day holiday,Substitute for Christmas day,,SA
20161227,Christmas Day holiday,Substitute for Christmas day,,ACT|NSW|NT|QLD|WA|TAS|VIC
20161227,Proclamation Day,Occurs the day after Christmas Day.,http://www.safework.sa.gov.au/show_page.jsp?id=2483#.U6tbuSInrho,SA
20161231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,http://www.safework.sa.gov.au/show_page.jsp?id=2483,SA
